mes_referencia,uf,linha_veiculo,total_contratos,contratos_ativos,contratos_cancelados,valor_total_fipe_protegido
2024-07,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,0,3,221304
2024-07,SC,PESADOS,2,0,2,586992
2024-06,,PESADOS,1,0,1,250000
2024-06,PR,PESADOS,19,0,19,3644434
2024-06,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",17,0,17,1007200
2024-06,PR,LEVES,1,0,1,22821
2024-06,RS,PESADOS,1,0,1,40000
2024-06,SC,PESADOS,4,0,4,901566
2024-06,SC,LEVES,1,0,1,23155
2024-06,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,40483
2024-06,SP,PESADOS,2,0,2,311065
2024-06,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,51317
2024-05,MG,PESADOS,1,0,1,631148
2024-05,PR,PESADOS,11,0,11,2259291
2024-05,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",12,0,12,433480
2024-05,PR,LEVES,1,0,1,21160
2024-05,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,0,2,89034
2024-05,SC,PESADOS,1,0,1,88352
2024-04,BA,PESADOS,1,0,1,514433
2024-04,MG,PESADOS,1,0,1,115954
2024-04,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",4,0,4,149370
2024-04,PR,PESADOS,9,0,9,1238119
2024-04,PR,LEVES,1,0,1,23447
2024-04,RS,PESADOS,2,0,2,470124
